ADRCD_NM,ADRCD_CD,LCTN_SC_CODE,SCHUL_CODE,SCHUL_NM,SCHUL_KND_SC_CODE,PBAN_EXCP_YN,SEM_STR,AIR_BACT_STB_YN,AIR_BACT_RSLT_NMVL,AIR_BACT_RSLT_NMVL_2,FALL_BACT_STB_YN,FALL_BACT_RSLT_NMVL,FALL_BACT_RSLT_NMVL_2,MITE_STB_YN,MITE_RSLT_NMVL,MITE_RSLT_NMVL_2,RN_STB_YN,RN_RSLT_NMVL,RN_RSLT_NMVL_2,O3_STB_YN,O3_RSLT_NMVL,O3_RSLT_NMVL_2,ASBESTOS_STB_YN,ASBESTOS_RSLT_NMVL,ASBESTOS_RSLT_NMVL_2
서울특별시 노원구,1135010500.0,1,S010001700,노일중학교,3,N,하반기,적합,122.0,,적합,0.0,,적합,20.0,,적합,61.0,,적합,0.02,,해당없음,,
서울특별시 노원구,1135010200.0,1,S010001701,녹천중학교,3,N,상반기,적합,9.0,9.0,해당없음,,,적합,20.0,,적합,23.0,,적합,0.02,0.03,적합,0.0,0.0
서울특별시 노원구,1135010200.0,1,S010001701,녹천중학교,3,N,하반기,적합,71.0,,해당없음,,,적합,20.0,,적합,23.0,,적합,0.01,,적합,0.0,
서울특별시 도봉구,1132010800.0,1,S010001702,도봉중학교,3,N,상반기,적합,100.0,100.0,해당없음,,,적합,19.0,19.0,적합,61.0,61.0,적합,0.02,0.02,적합,0.01,0.01
서울특별시 도봉구,1132010800.0,1,S010001702,도봉중학교,3,N,하반기,적합,112.0,,적합,0.0,,적합,20.0,,적합,81.0,,적합,0.01,,적합,0.01,
서울특별시 도봉구,1132010600.0,1,S010001703,방학중학교,3,N,상반기,적합,222.0,164.0,해당없음,,,적합,19.0,17.0,적합,77.0,77.0,적합,0.02,0.03,적합,0.01,0.01
서울특별시 도봉구,1132010600.0,1,S010001703,방학중학교,3,N,하반기,적합,176.0,,해당없음,,,적합,20.0,,적합,50.0,,적합,0.02,,적합,0.01,
서울특별시 도봉구,1132010500.0,1,S010001704,백운중학교,3,N,상반기,적합,203.0,,적합,3.0,,적합,20.0,,적합,51.0,,적합,0.031,,적합,0.0,
서울특별시 도봉구,1132010500.0,1,S010001704,백운중학교,3,N,하반기,적합,124.0,151.0,적합,0.0,,적합,20.0,,적합,51.0,,적합,0.02,,적합,0.01,
서울특별시 도봉구,1132010800.0,1,S010001705,북서울중학교,3,N,상반기,적합,106.0,127.0,해당없음,,,적합,20.0,20.0,적합,140.0,140.0,적합,0.01,0.02,해당없음,,
서울특별시 도봉구,1132010800.0,1,S010001705,북서울중학교,3,N,하반기,적합,173.0,263.0,해당없음,,,적합,0.0,0.0,적합,0.0,0.0,적합,0.02,,적합,0.0,0.0
서울특별시 노원구,1135010400.0,1,S010001706,불암중학교,3,N,상반기,적합,,140.0,해당없음,,,적합,,20.0,적합,,120.0,적합,,0.021,적합,,0.01
서울특별시 노원구,1135010400.0,1,S010001706,불암중학교,3,N,하반기,적합,35.0,,적합,0.0,,적합,15.0,,적합,32.0,,적합,0.02,,적합,0.0,
서울특별시 노원구,1135010500.0,1,S010001707,상경중학교,3,N,상반기,적합,238.0,,미실시,,,적합,20.0,,적합,93.0,,적합,0.01,,적합,0.01,
서울특별시 노원구,1135010500.0,1,S010001707,상경중학교,3,N,하반기,적합,558.0,,해당없음,,,적합,20.0,,적합,41.0,,적합,0.02,,적합,0.0,
서울특별시 노원구,1135010600.0,1,S010001708,상계제일중학교,3,N,상반기,적합,430.0,,적합,4.0,,적합,20.0,,적합,62.0,,적합,0.02,,해당없음,,
서울특별시 노원구,1135010600.0,1,S010001708,상계제일중학교,3,N,하반기,적합,765.0,,적합,0.0,,적합,20.0,,적합,0.0,,적합,0.03,,해당없음,,
서울특별시 노원구,1135010500.0,1,S010001709,상계중학교,3,N,상반기,적합,105.0,126.0,해당없음,,,해당없음,,,적합,57.0,57.0,적합,0.01,0.01,적합,,
서울특별시 노원구,1135010500.0,1,S010001709,상계중학교,3,N,하반기,적합,359.0,166.0,해당없음,,,적합,20.0,20.0,적합,44.0,44.0,적합,0.02,0.02,적합,0.01,0.01
서울특별시 노원구,1135010500.0,1,S010001711,상원중학교,3,N,상반기,적합,60.0,64.0,해당없음,,,적합,20.0,,적합,80.0,,적합,0.02,0.02,적합,0.01,
서울특별시 노원구,1135010500.0,1,S010001711,상원중학교,3,N,하반기,적합,206.0,,적합,0.0,,적합,20.0,,적합,23.0,,적합,0.05,,적합,0.01,
서울특별시 노원구,1135010500.0,1,S010001713,수락중학교,3,N,상반기,적합,98.0,154.0,적합,2.01,1.6,적합,20.0,20.0,해당없음,,,적합,0.01,0.01,해당없음,,
서울특별시 노원구,1135010500.0,1,S010001713,수락중학교,3,N,하반기,적합,177.0,,해당없음,,,적합,20.0,,적합,42.0,,적합,0.03,,해당없음,,
서울특별시 도봉구,1132010500.0,1,S010001714,신도봉중학교,3,N,상반기,적합,42.0,224.0,미실시,,,미실시,,,적합,,42.0,적합,0.02,0.031,해당없음,,
서울특별시 도봉구,1132010500.0,1,S010001714,신도봉중학교,3,N,하반기,적합,0.0,,적합,0.0,,적합,0.0,,적합,42.0,,적합,0.0,,적합,0.01,
서울특별시 도봉구,1132010600.0,1,S010001715,신방학중학교,3,N,상반기,적합,28.0,,해당없음,,,적합,20.0,,적합,54.0,,적합,0.02,,적합,0.01,
서울특별시 도봉구,1132010600.0,1,S010001715,신방학중학교,3,N,하반기,적합,297.0,,해당없음,,,적합,20.0,,적합,37.0,,적합,0.02,,적합,0.0,
서울특별시 노원구,1135010500.0,1,S010001716,신상중학교,3,N,상반기,적합,146.0,80.0,해당없음,,,적합,20.0,,해당없음,,,적합,0.02,0.03,적합,0.01,
서울특별시 노원구,1135010500.0,1,S010001716,신상중학교,3,N,하반기,적합,234.0,,해당없음,,,적합,20.0,,적합,63.0,,적합,0.02,,적합,0.01,
서울특별시 노원구,1135010200.0,1,S010001717,신창중학교,3,N,상반기,적합,132.0,119.0,미실시,,,적합,20.0,,미실시,,,적합,0.01,0.02,미실시,,
서울특별시 노원구,1135010200.0,1,S010001717,신창중학교,3,N,하반기,적합,358.0,,해당없음,,,적합,20.0,,적합,61.0,,적합,0.03,,해당없음,,
서울특별시 노원구,1135010500.0,1,S010001719,온곡중학교,3,N,상반기,적합,133.0,,해당없음,,,적합,20.0,,적합,42.0,,적합,0.03,,적합,0.01,
