SCHUL_CODE,공시년도,TOTAL_WEIGHTED_SCORE,SAFETY_GRADE,학교명,연도,학교시설확충,세입세출구분,정부이전수입/인적자원운용,학부모부담수입/기본적교육활동,행정활동수입/교육활동지원,1인당 예산,설립구분,지역,학교과정구분명(초-중-고),학교교육시설 보수확충금액,학생복지및 자치활동지원금액
S010000775,1978,0.348029976812572,A,서울역삼초등학교,2022,,예산세입,422567000,40445000,4220000,,공립,서울특별시 강남구,초,0.0,250000.0
S010000775,1978,0.348029976812572,A,서울역삼초등학교,2022,0.0,예산세출,3100000,77845000,52142000,1391884.6,공립,서울특별시 강남구,초,0.0,250000.0
S010000775,1978,0.348029976812572,A,서울역삼초등학교,2023,,예산세입,465525000,40445000,9700000,,공립,서울특별시 강남구,초,0.0,2100000.0
S010000775,1978,0.348029976812572,A,서울역삼초등학교,2023,0.0,예산세출,9640000,111230000,52600000,1722110.4,공립,서울특별시 강남구,초,0.0,2100000.0
S010000775,1978,0.348029976812572,A,서울역삼초등학교,2024,,예산세입,569806000,359807000,27200000,,공립,서울특별시 강남구,초,0.0,0.0
S010000775,1978,0.348029976812572,A,서울역삼초등학교,2024,0.0,예산세출,16790000,132290000,45211000,3188508.0,공립,서울특별시 강남구,초,0.0,0.0
S010000776,1946,0.5172971765246592,C,서울영희초등학교,2022,,예산세입,542911000,0,184193000,,공립,서울특별시 강남구,초,23617000.0,0.0
S010000776,1946,0.5172971765246592,C,서울영희초등학교,2022,0.0,예산세출,8825000,68184000,147826000,2450174.8,공립,서울특별시 강남구,초,23617000.0,0.0
S010000776,1946,0.5172971765246592,C,서울영희초등학교,2023,,예산세입,528151000,0,239860000,,공립,서울특별시 강남구,초,34944290.0,700000.0
S010000776,1946,0.5172971765246592,C,서울영희초등학교,2023,0.0,예산세출,14675000,69332000,132800000,2575199.3,공립,서울특별시 강남구,초,34944290.0,700000.0
S010000776,1946,0.5172971765246592,C,서울영희초등학교,2024,,예산세입,645730000,199000000,5000000,,공립,서울특별시 강남구,초,,
S010000776,1946,0.5172971765246592,C,서울영희초등학교,2024,0.0,예산세출,23615000,89819000,65799000,3332310.6,공립,서울특별시 강남구,초,,
S010000777,1963,0.5748141179892168,D,서울왕북초등학교,2022,,예산세입,490845000,0,0,,공립,서울특별시 강남구,초,0.0,0.0
S010000777,1963,0.5748141179892168,D,서울왕북초등학교,2022,0.0,예산세출,13510000,83453000,58975000,539390.1,공립,서울특별시 강남구,초,0.0,0.0
S010000777,1963,0.5748141179892168,D,서울왕북초등학교,2023,,예산세입,584036000,0,2700000,,공립,서울특별시 강남구,초,0.0,1850000.0
S010000777,1963,0.5748141179892168,D,서울왕북초등학교,2023,0.0,예산세출,17950000,117313000,62839000,717182.0,공립,서울특별시 강남구,초,0.0,1850000.0
S010000777,1963,0.5748141179892168,D,서울왕북초등학교,2024,,예산세입,679746000,65000000,4200000,,공립,서울특별시 강남구,초,0.0,2700000.0
S010000777,1963,0.5748141179892168,D,서울왕북초등학교,2024,0.0,예산세출,17290000,150309000,71250000,939811.0,공립,서울특별시 강남구,초,0.0,2700000.0
