SCHUL_CODE,공시년도,TOTAL_WEIGHTED_SCORE,SAFETY_GRADE,학교명,연도,학교시설확충,세입세출구분,정부이전수입/인적자원운용,학부모부담수입/기본적교육활동,행정활동수입/교육활동지원,1인당 예산,설립구분,지역,학교과정구분명(초-중-고),학교교육시설 보수확충금액,학생복지및 자치활동지원금액
S010000756,1984,0.4579147169163617,B,서울방일초등학교,2022,0.0,예산세출,10780000,91790000,69749000,572111.3,공립,서울특별시 서초구,초,0.0,0.0
S010000756,1984,0.4579147169163617,B,서울방일초등학교,2023,,예산세입,605070000,0,6000000,,공립,서울특별시 서초구,초,,
S010000756,1984,0.4579147169163617,B,서울방일초등학교,2023,0.0,예산세출,36820000,147105000,53036000,652606.0,공립,서울특별시 서초구,초,,
S010000756,1984,0.4579147169163617,B,서울방일초등학교,2024,,예산세입,721416000,29925000,11000000,,공립,서울특별시 서초구,초,4000000.0,0.0
S010000756,1984,0.4579147169163617,B,서울방일초등학교,2024,0.0,예산세출,21740000,179778000,57804000,846776.7,공립,서울특별시 서초구,초,4000000.0,0.0
S010000757,1990,0.3972945130342746,A,서울방현초등학교,2022,,예산세입,362884000,39168000,2310000,,공립,서울특별시 서초구,초,0.0,0.0
S010000757,1990,0.3972945130342746,A,서울방현초등학교,2022,0.0,예산세출,9720000,42340000,47896000,1775573.2,공립,서울특별시 서초구,초,0.0,0.0
S010000757,1990,0.3972945130342746,A,서울방현초등학교,2023,,예산세입,408854000,0,2710000,,공립,서울특별시 서초구,초,0.0,793950.0
S010000757,1990,0.3972945130342746,A,서울방현초등학교,2023,0.0,예산세출,9705000,86860000,45132000,2074826.9,공립,서울특별시 서초구,초,0.0,793950.0
S010000757,1990,0.3972945130342746,A,서울방현초등학교,2024,,예산세입,480539000,115251000,4650000,,공립,서울특별시 서초구,초,0.0,180000.0
S010000757,1990,0.3972945130342746,A,서울방현초등학교,2024,0.0,예산세출,14035000,63880000,48578000,3273617.0,공립,서울특별시 서초구,초,0.0,180000.0
S010000758,1982,0.5396337452712452,C,서울봉은초등학교,2022,,예산세입,442200000,30874000,2800000,,공립,서울특별시 강남구,초,0.0,150000.0
S010000758,1982,0.5396337452712452,C,서울봉은초등학교,2022,0.0,예산세출,8140000,50378000,77522000,993607.4,공립,서울특별시 강남구,초,0.0,150000.0
S010000758,1982,0.5396337452712452,C,서울봉은초등학교,2023,,예산세입,493484000,23548000,6050000,,공립,서울특별시 강남구,초,0.0,100000.0
S010000758,1982,0.5396337452712452,C,서울봉은초등학교,2023,0.0,예산세출,13840000,111777000,67988000,1174851.5,공립,서울특별시 강남구,초,0.0,100000.0
S010000758,1982,0.5396337452712452,C,서울봉은초등학교,2024,,예산세입,580254000,395063000,6586000,,공립,서울특별시 강남구,초,0.0,1900010.0
S010000758,1982,0.5396337452712452,C,서울봉은초등학교,2024,0.0,예산세출,16140000,143922000,65657000,2432525.7,공립,서울특별시 강남구,초,0.0,1900010.0
S010000759,1985,0.4806143121096543,B,서울삼릉초등학교,2022,,예산세입,832934000,34733000,5330000,,공립,서울특별시 강남구,초,0.0,711690.0
S010000759,1985,0.4806143121096543,B,서울삼릉초등학교,2022,0.0,예산세출,8720000,93872000,69935000,1706988.7,공립,서울특별시 강남구,초,0.0,711690.0
S010000759,1985,0.4806143121096543,B,서울삼릉초등학교,2023,,예산세입,490106000,29204000,4730000,,공립,서울특별시 강남구,초,0.0,823200.0
