SCHUL_NM,ADRCD_NM,SCHUL_KND_SC_CODE,SEM_STR,AIR_BACT,FALL_BACT,MITE,RN,O3,ASBESTOS
서울청담초등학교,서울특별시 강남구,2,하반기,736.0,1.603230313293819,20.0,16.2,0.0,0.0
서울포이초등학교,서울특별시 강남구,2,상반기,294.0,3.0,20.0,21.0,0.023,0.003964597478176527
서울포이초등학교,서울특별시 강남구,2,하반기,565.0,2.0,20.0,88.0,0.02,0.003964597478176527
서울학동초등학교,서울특별시 강남구,2,상반기,114.0,0.0,0.0,34.5,0.007,0.01
서울학동초등학교,서울특별시 강남구,2,하반기,725.0,0.0,20.0,34.5,0.01,0.01
서울가동초등학교,서울특별시 송파구,2,상반기,404.0,7.0,20.0,49.0,0.014,0.003964597478176527
서울가동초등학교,서울특별시 송파구,2,하반기,737.0,2.0,20.0,24.9,0.0,0.003964597478176527
서울가락초등학교,서울특별시 송파구,2,상반기,595.0,2.0,20.0,61.2,0.011,0.0
서울가락초등학교,서울특별시 송파구,2,하반기,727.0,5.0,20.0,64.4,0.0,0.003964597478176527
서울가원초등학교,서울특별시 송파구,2,상반기,336.5,1.603230313293819,20.0,13.4,0.013,0.003964597478176527
서울가원초등학교,서울특별시 송파구,2,하반기,270.0,1.603230313293819,10.0,12.9,0.01,0.003964597478176527
서울가주초등학교,서울특별시 송파구,2,상반기,322.5,1.603230313293819,20.0,45.43074929577464,0.001,0.003964597478176527
서울가주초등학교,서울특별시 송파구,2,하반기,733.3,2.0,20.0,12.0,0.01,0.003964597478176527
서울강덕초등학교,서울특별시 강동구,2,상반기,496.0,1.603230313293819,20.0,15.1,0.01,0.003964597478176527
서울강덕초등학교,서울특별시 강동구,2,하반기,140.0,1.603230313293819,20.0,15.1,0.01,0.003964597478176527
서울강동초등학교,서울특별시 강동구,2,상반기,336.6977637130801,1.603230313293819,17.980964673913046,45.43074929577464,0.021434327176781006,0.003964597478176527
서울강동초등학교,서울특별시 강동구,2,하반기,273.0,2.0,18.0,45.43074929577464,0.0,0.003964597478176527
서울강일초등학교,서울특별시 강동구,2,상반기,479.0,3.0,0.0,35.7,0.009,0.003964597478176527
