설립구분,학교급코드,지역,교육지원청,시도교육청,교육지원청코드,제외여부,예결산구분,세입세출구분,기타/학교일반운영,행정활동수입/교육활동지원,지원금수입/선택적교육활동,학부모부담수입/기본적교육활동,기타이전수입/학생복지_교육격차해소,정보공시 학교코드,정부이전수입/인적자원운용,시도교육청코드,소재지구분코드,분교여부,학교명,학교과정구분명(초-중-고),학교과정구분값(2-3-4),제외사유,연도,학교급코드,예산구분,학교재무활동,학교시설확충,1인당 예산,고등학교 계열 구분명
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,25000000,4000000,0,0,0,S010000914,724976000,B100000001,1,N,서울명덕초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,20000000,1800000,0,0,0,S010000915,565708000,B100000001,1,N,서울명원초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,25000000,7000000,0,0,0,S010000916,615635000,B100000001,1,N,서울명일초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,15000000,13550000,0,0,0,S010000917,701908000,B100000001,1,N,서울묘곡초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,2000000,3000000,0,0,0,S010000918,483610000,B100000001,1,N,서울문덕초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,10000000,4100000,0,0,0,S010000919,551125000,B100000001,1,N,서울문정초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,15000000,4980000,0,0,0,S010000920,474870000,B100000001,1,N,서울방산초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,20000000,2000000,0,0,0,S010000921,505485000,B100000001,1,N,서울방이초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,5000000,25000000,0,0,0,S010000922,621779000,B100000001,1,N,서울삼전초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,15000000,4200000,0,0,12440000,S010000923,391805000,B100000001,1,N,서울상일초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,32000000,12810000,0,526055000,0,S010000924,562294000,B100000001,1,N,서울석촌초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,20000000,8198000,0,0,0,S010000925,452152000,B100000001,1,N,서울선린초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,16000000,6000000,0,83082000,0,S010000926,498841000,B100000001,1,N,서울선사초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,24000000,3610000,0,0,0,S010000927,575357000,B100000001,1,N,서울성내초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,15000000,138000000,0,72623000,0,S010000928,746122000,B100000001,1,N,서울성일초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,10000000,400000,0,18200000,0,S010000929,489986000,B100000001,1,N,서울세륜초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,25000000,16200000,0,0,0,S010000930,499480000,B100000001,1,N,서울송전초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,25000000,8176000,0,377687000,0,S010000931,494533000,B100000001,1,N,서울송파초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,26000000,6280000,0,0,0,S010000932,523451000,B100000001,1,N,서울신가초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,30000000,9682000,0,0,0,S010000933,457007000,B100000001,1,N,서울신명초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강동구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,25000000,4000000,0,0,0,S010000934,600074000,B100000001,1,N,서울신암초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,15000000,6701000,0,0,0,S010000935,469153000,B100000001,1,N,서울신천초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,9646000,0,0,0,0,S010000936,475948000,B100000001,1,N,서울아주초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,16500000,3620000,0,0,0,S010000937,572743000,B100000001,1,N,서울영풍초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,15000000,4003000,0,0,0,S010000938,487055000,B100000001,1,N,서울오금초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,25000000,3000000,0,0,0,S010000939,445630000,B100000001,1,N,서울오륜초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,15000000,5900000,0,0,0,S010000941,515748000,B100000001,1,N,서울잠동초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,15000000,3710000,0,0,0,S010000942,708509000,B100000001,1,N,서울잠신초등학교,초,2,,2022,2,세입,,,,
